id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image_path,canonical_category,outfit_part,base_colour,split,category_idx
46885,Boys,Footwear,Flip Flops,Flip Flops,Navy Blue,Fall,2012.0,Casual,Ben 10 Boys Navy Blue Slippers,C:\Users\LENOVO\New folder\data\raw\images\46885.jpg,Shoes,shoes,Navy Blue,train,7
12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,C:\Users\LENOVO\New folder\data\raw\images\12369.jpg,Shirt,top,Purple,train,1
29928,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Police Men Black Dial Watch PL12889JVSB,C:\Users\LENOVO\New folder\data\raw\images\29928.jpg,Accessories,accessory,Black,train,9
42419,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,C:\Users\LENOVO\New folder\data\raw\images\42419.jpg,T-Shirt,top,White,train,0
51832,Women,Apparel,Innerwear,Bra,Beige,Summer,2016.0,Casual,Bwitch Beige Full-Coverage Bra BW335,C:\Users\LENOVO\New folder\data\raw\images\51832.jpg,Accessories,accessory,Beige,train,9
47359,Women,Accessories,Bags,Handbags,Brown,Summer,2012.0,Casual,Baggit Women Brown Handbag,C:\Users\LENOVO\New folder\data\raw\images\47359.jpg,Accessories,accessory,Brown,train,9
17429,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,C:\Users\LENOVO\New folder\data\raw\images\17429.jpg,Accessories,accessory,Black,val,9
12967,Men,Footwear,Sandal,Sandals,Black,Fall,2011.0,Casual,ADIDAS Men Spry M Black Sandals,C:\Users\LENOVO\New folder\data\raw\images\12967.jpg,Shoes,shoes,Black,train,7
6842,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Black,Summer,2011.0,Casual,Timberland Unisex Rubber Sole Brush Shoe Accessories,C:\Users\LENOVO\New folder\data\raw\images\6842.jpg,Accessories,accessory,Black,test,9
13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,C:\Users\LENOVO\New folder\data\raw\images\13089.jpg,T-Shirt,top,Grey,train,0
18461,Men,Personal Care,Fragrance,Deodorant,White,Spring,2017.0,Casual,David Beckham Signature Men Deos,C:\Users\LENOVO\New folder\data\raw\images\18461.jpg,Accessories,accessory,White,train,9
9036,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2011.0,Formal,Buckaroo Men Flores Black Formal Shoes,C:\Users\LENOVO\New folder\data\raw\images\9036.jpg,Shoes,shoes,Black,train,7
48311,Women,Accessories,Jewellery,Bracelet,Bronze,Winter,2012.0,Casual,Pitaraa Women Bronze Beaded Bracelet,C:\Users\LENOVO\New folder\data\raw\images\48311.jpg,Accessories,accessory,Bronze,train,9
7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,C:\Users\LENOVO\New folder\data\raw\images\7990.jpg,T-Shirt,top,Navy Blue,val,0
56019,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017.0,Casual,Colorbar Soft Touch Show Stopper Copper Lipstick 037,C:\Users\LENOVO\New folder\data\raw\images\56019.jpg,Accessories,accessory,Brown,train,9
21977,Women,Accessories,Bags,Handbags,Brown,Winter,2015.0,Casual,Murcia Women Casual Brown Handbag,C:\Users\LENOVO\New folder\data\raw\images\21977.jpg,Accessories,accessory,Brown,val,9
37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,C:\Users\LENOVO\New folder\data\raw\images\37812.jpg,Shirt,top,Navy Blue,train,1
4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,C:\Users\LENOVO\New folder\data\raw\images\4729.jpg,T-Shirt,top,Green,train,0
56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt,C:\Users\LENOVO\New folder\data\raw\images\56825.jpg,Shirt,top,Brown,train,1
39988,Men,Footwear,Shoes,Casual Shoes,White,Winter,2014.0,Casual,Gas Men Europa White Shoes,C:\Users\LENOVO\New folder\data\raw\images\39988.jpg,Shoes,shoes,White,val,7
59051,Women,Footwear,Shoes,Flats,Black,Winter,2012.0,Casual,Carlton London Women Black & Gold Toned Flats,C:\Users\LENOVO\New folder\data\raw\images\59051.jpg,Shoes,shoes,Black,train,7
20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,C:\Users\LENOVO\New folder\data\raw\images\20099.jpg,Shirt,top,Green,train,1
58183,Women,Accessories,Bags,Handbags,White,Summer,2012.0,Casual,Rocky S Women White Handbag,C:\Users\LENOVO\New folder\data\raw\images\58183.jpg,Accessories,accessory,White,train,9
29742,Women,Accessories,Bags,Handbags,Teal,Summer,2012.0,Casual,Kiara Women Teal Handbag,C:\Users\LENOVO\New folder\data\raw\images\29742.jpg,Accessories,accessory,Teal,train,9
51658,Women,Accessories,Watches,Watches,Copper,Winter,2016.0,Casual,Fossil Women Copper Chronograph Watch CH2589,C:\Users\LENOVO\New folder\data\raw\images\51658.jpg,Accessories,accessory,Copper,train,9
3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,C:\Users\LENOVO\New folder\data\raw\images\3954.jpg,T-Shirt,top,Pink,test,0
18839,Men,Accessories,Belts,Belts,Black,Fall,2011.0,Formal,Peter England Men Formal Black Belt,C:\Users\LENOVO\New folder\data\raw\images\18839.jpg,Accessories,accessory,Black,train,9
2886,Women,Footwear,Shoes,Flats,Brown,Winter,2015.0,Casual,Catwalk Women Leather Brown Flats,C:\Users\LENOVO\New folder\data\raw\images\2886.jpg,Shoes,shoes,Brown,test,7
23278,Men,Accessories,Watches,Watches,Off White,Winter,2016.0,Casual,Maxima Ssteele Men Off White Watch,C:\Users\LENOVO\New folder\data\raw\images\23278.jpg,Accessories,accessory,Off White,train,9
28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,C:\Users\LENOVO\New folder\data\raw\images\28690.jpg,Shirt,top,Beige,train,1
8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat,C:\Users\LENOVO\New folder\data\raw\images\8580.jpg,Accessories,accessory,Grey,train,9
3168,Men,Footwear,Shoes,Sports Shoes,White,Fall,2010.0,Sports,Nike Men's Incinerate MSL White Blue Shoe,C:\Users\LENOVO\New folder\data\raw\images\3168.jpg,Sneakers,shoes,White,train,8
18005,Men,Apparel,Bottomwear,Shorts,Black,Summer,2011.0,Sports,Puma Men Long Logo Black Bermuda,C:\Users\LENOVO\New folder\data\raw\images\18005.jpg,Trousers,bottom,Black,val,3
17871,Men,Apparel,Innerwear,Briefs,Maroon,Winter,2016.0,Casual,Levis Men Boxer Maroon Brief,C:\Users\LENOVO\New folder\data\raw\images\17871.jpg,Accessories,accessory,Maroon,train,9
9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,C:\Users\LENOVO\New folder\data\raw\images\9452.jpg,Shirt,top,Red,train,1
38402,Women,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Baggit Women Hood Dabang Black Belt,C:\Users\LENOVO\New folder\data\raw\images\38402.jpg,Accessories,accessory,Black,test,9
44984,Women,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Women White Dial Watch,C:\Users\LENOVO\New folder\data\raw\images\44984.jpg,Accessories,accessory,White,train,9
10268,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2012.0,Formal,Clarks Men Hang Work Leather Black Formal Shoes,C:\Users\LENOVO\New folder\data\raw\images\10268.jpg,Shoes,shoes,Black,train,7
45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,C:\Users\LENOVO\New folder\data\raw\images\45856.jpg,Shirt,top,Brown,train,1
32138,Men,Apparel,Innerwear,Briefs,Blue,Summer,2016.0,Casual,Playboy Men Blue Titanium Briefs,C:\Users\LENOVO\New folder\data\raw\images\32138.jpg,Accessories,accessory,Blue,train,9
59435,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Arrow Men Black Formal Shoes,C:\Users\LENOVO\New folder\data\raw\images\59435.jpg,Shoes,shoes,Black,train,7
5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,C:\Users\LENOVO\New folder\data\raw\images\5891.jpg,T-Shirt,top,Black,train,0
38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,C:\Users\LENOVO\New folder\data\raw\images\38630.jpg,T-Shirt,top,Purple,train,0
4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,C:\Users\LENOVO\New folder\data\raw\images\4943.jpg,Shirt,top,White,train,1
11188,Men,Accessories,Watches,Watches,Silver,Winter,2016.0,Casual,Carrera Men Dial steel finish strap Silver Watches,C:\Users\LENOVO\New folder\data\raw\images\11188.jpg,Accessories,accessory,Silver,train,9
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,C:\Users\LENOVO\New folder\data\raw\images\10866.jpg,T-Shirt,top,Red,train,0
59607,Women,Apparel,Saree,Sarees,Grey,Fall,2012.0,Ethnic,FNF Pink & Grey Wedding Collection Sari,C:\Users\LENOVO\New folder\data\raw\images\59607.jpg,Accessories,accessory,Grey,train,9
15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,C:\Users\LENOVO\New folder\data\raw\images\15528.jpg,T-Shirt,top,Black,test,0
45258,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,CASIO EDIFICE Men Black Dial Chronograph Watch ED60,C:\Users\LENOVO\New folder\data\raw\images\45258.jpg,Accessories,accessory,Black,train,9
42841,Women,Accessories,Bags,Handbags,Beige,Summer,2012.0,Casual,French Connection Women Beige Handbag,C:\Users\LENOVO\New folder\data\raw\images\42841.jpg,Accessories,accessory,Beige,val,9
22198,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2012.0,Casual,Timberland Men Black Casual Shoes,C:\Users\LENOVO\New folder\data\raw\images\22198.jpg,Shoes,shoes,Black,test,7
29570,Men,Footwear,Shoes,Casual Shoes,Purple,Summer,2012.0,Casual,Vans Men Classic Slip-On Purple & Black Shoes,C:\Users\LENOVO\New folder\data\raw\images\29570.jpg,Shoes,shoes,Purple,train,7
43993,Women,Personal Care,Fragrance,Perfume and Body Mist,Pink,Spring,2017.0,Casual,Police Women Passion Perfume,C:\Users\LENOVO\New folder\data\raw\images\43993.jpg,Accessories,accessory,Pink,train,9
6628,Men,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Men's Lowell White Silver Shoe,C:\Users\LENOVO\New folder\data\raw\images\6628.jpg,Sneakers,shoes,White,train,8
54924,Men,Apparel,Bottomwear,Shorts,Blue,Summer,2012.0,Casual,Do U Speak Green Men Blue Shorts,C:\Users\LENOVO\New folder\data\raw\images\54924.jpg,Trousers,bottom,Blue,train,3
26538,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2012.0,Casual,ID Men Red Shoes,C:\Users\LENOVO\New folder\data\raw\images\26538.jpg,Shoes,shoes,Red,train,7
35913,Women,Accessories,Bags,Handbags,Black,Summer,2012.0,Casual,Peperone Women Black & White Handbag,C:\Users\LENOVO\New folder\data\raw\images\35913.jpg,Accessories,accessory,Black,train,9
49495,Men,Footwear,Shoes,Casual Shoes,Khaki,Summer,2012.0,Casual,Vans Men Khaki Shoes,C:\Users\LENOVO\New folder\data\raw\images\49495.jpg,Shoes,shoes,Khaki,train,7
9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,C:\Users\LENOVO\New folder\data\raw\images\9660.jpg,Shirt,top,Pink,train,1
2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt,C:\Users\LENOVO\New folder\data\raw\images\2288.jpg,T-Shirt,top,Black,train,0
23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt,C:\Users\LENOVO\New folder\data\raw\images\23876.jpg,T-Shirt,top,Blue,train,0
18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt,C:\Users\LENOVO\New folder\data\raw\images\18237.jpg,T-Shirt,top,Red,train,0
54118,Women,Footwear,Shoes,Heels,Black,Winter,2012.0,Casual,Rocia Women Black Flats,C:\Users\LENOVO\New folder\data\raw\images\54118.jpg,Shoes,shoes,Black,train,7
2872,Women,Footwear,Shoes,Heels,Brown,Winter,2015.0,Casual,Catwalk Women Leather Flats,C:\Users\LENOVO\New folder\data\raw\images\2872.jpg,Shoes,shoes,Brown,train,7
49653,Women,Apparel,Topwear,Tops,Green,Summer,2012.0,Casual,Mineral Women Green Top,C:\Users\LENOVO\New folder\data\raw\images\49653.jpg,T-Shirt,top,Green,train,0
8574,Women,Footwear,Sandal,Sandals,Pink,Fall,2011.0,Casual,Crocs Dora Boots Pink Sandals,C:\Users\LENOVO\New folder\data\raw\images\8574.jpg,Shoes,shoes,Pink,test,7
16957,Men,Accessories,Eyewear,Sunglasses,Black,Winter,2016.0,Casual,Image Men Sunglasses,C:\Users\LENOVO\New folder\data\raw\images\16957.jpg,Accessories,accessory,Black,train,9
19123,Men,Footwear,Flip Flops,Flip Flops,Silver,Fall,2011.0,Casual,Lotto Men XL Water Man Silver Slippers,C:\Users\LENOVO\New folder\data\raw\images\19123.jpg,Shoes,shoes,Silver,test,7
13419,Men,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,United Colors of Benetton Men Solid Pink Polo T-shirts,C:\Users\LENOVO\New folder\data\raw\images\13419.jpg,T-Shirt,top,Pink,train,0
17885,Men,Apparel,Innerwear,Innerwear Vests,Grey,Summer,2016.0,Casual,Levis Men Comfort Style Grey Innerwear Vest,C:\Users\LENOVO\New folder\data\raw\images\17885.jpg,Accessories,accessory,Grey,train,9
43369,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2013.0,Casual,Reebok Men Black Possession Flip Flops,C:\Users\LENOVO\New folder\data\raw\images\43369.jpg,Shoes,shoes,Black,train,7
48781,Women,Accessories,Jewellery,Pendant,Silver,Summer,2012.0,Casual,Lucera Women Silver Pendant,C:\Users\LENOVO\New folder\data\raw\images\48781.jpg,Accessories,accessory,Silver,val,9
44970,Men,Accessories,Watches,Watches,White,Winter,2016.0,Casual,Maxima Men White Dial Analog Chronograph Watch,C:\Users\LENOVO\New folder\data\raw\images\44970.jpg,Accessories,accessory,White,train,9
56489,Women,Personal Care,Nails,Nail Polish,Bronze,Spring,2017.0,,Streetwear Ash Nail Polish # 31,C:\Users\LENOVO\New folder\data\raw\images\56489.jpg,Accessories,accessory,Bronze,train,9
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012.0,Casual,Peter England Unisex Orange Sleeve Bag,C:\Users\LENOVO\New folder\data\raw\images\39524.jpg,Accessories,accessory,Orange,train,9
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Puma Men Axis White & Grey Sports Shoes,C:\Users\LENOVO\New folder\data\raw\images\33822.jpg,Sneakers,shoes,White,train,8
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012.0,Casual,Tonga Women Maroon Top,C:\Users\LENOVO\New folder\data\raw\images\58513.jpg,T-Shirt,top,Off White,train,0
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012.0,Casual,Femella Women Brown Scarf,C:\Users\LENOVO\New folder\data\raw\images\25947.jpg,Accessories,accessory,Brown,train,9
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012.0,,Just Natural Unisex Charcoal Rain Jacket,C:\Users\LENOVO\New folder\data\raw\images\52029.jpg,Jacket,outerwear,Coffee Brown,train,6
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,ADIDAS Men's Twelve Faster T-shirt,C:\Users\LENOVO\New folder\data\raw\images\5865.jpg,T-Shirt,top,Black,train,0
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012.0,Casual,Arrow Woman Women Blue Dress,C:\Users\LENOVO\New folder\data\raw\images\39716.jpg,Dress,top,Blue,test,4
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016.0,Casual,Levis Men Red Brief,C:\Users\LENOVO\New folder\data\raw\images\25349.jpg,Accessories,accessory,Red,train,9
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011.0,Casual,Ganuchi Men Casual Black Sandals,C:\Users\LENOVO\New folder\data\raw\images\11940.jpg,Shoes,shoes,Black,train,7
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017.0,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124,C:\Users\LENOVO\New folder\data\raw\images\55802.jpg,Accessories,accessory,White,test,9
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Indigo Nation Men Printed Black T-shirt,C:\Users\LENOVO\New folder\data\raw\images\29584.jpg,T-Shirt,top,Black,train,0
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017.0,Casual,DKNY Women Red Delicious Perfume,C:\Users\LENOVO\New folder\data\raw\images\43967.jpg,Accessories,accessory,Red,train,9
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Sports,Urban Yoga Women Blue Skirt With Leggings,C:\Users\LENOVO\New folder\data\raw\images\28456.jpg,Skirt,bottom,Blue,train,5
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012.0,Casual,Gini and Jony Girls Black Top,C:\Users\LENOVO\New folder\data\raw\images\34009.jpg,T-Shirt,top,Black,train,0
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011.0,Casual,Nike Men Air Rift MTR White Casual Shoe,C:\Users\LENOVO\New folder\data\raw\images\19311.jpg,Shoes,shoes,White,train,7
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,ADIDAS Men White Corona Sports Shoes,C:\Users\LENOVO\New folder\data\raw\images\42089.jpg,Sneakers,shoes,White,test,8
22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Unisex Black Dial Watch 9915PP13,C:\Users\LENOVO\New folder\data\raw\images\22950.jpg,Accessories,accessory,Black,train,9
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012.0,Casual,Vans Men Blue Era Scilla Plaid Shoes,C:\Users\LENOVO\New folder\data\raw\images\49461.jpg,Shoes,shoes,Blue,train,7
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015.0,Casual,Crocs Kids Navy Blue Clogs,C:\Users\LENOVO\New folder\data\raw\images\8746.jpg,Shoes,shoes,Navy Blue,train,7
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Classic Polo Men Vulcan White Polo Tshirts,C:\Users\LENOVO\New folder\data\raw\images\9694.jpg,T-Shirt,top,White,train,0
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Fila Men Destiny Grey Sports Shoes,C:\Users\LENOVO\New folder\data\raw\images\23882.jpg,Sneakers,shoes,Grey,train,8
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012.0,Sports,ADIDAS Men Blue Chill Sports Shoes,C:\Users\LENOVO\New folder\data\raw\images\34835.jpg,Sneakers,shoes,Blue,train,8
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Casual,Turtle Check Men Yellow Shirt,C:\Users\LENOVO\New folder\data\raw\images\15984.jpg,Shirt,top,Yellow,train,1
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,Arrow Men Black Wallet,C:\Users\LENOVO\New folder\data\raw\images\41268.jpg,Accessories,accessory,Black,train,9
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015.0,Casual,Catwalk Women Gun Metal Grey Heels,C:\Users\LENOVO\New folder\data\raw\images\11518.jpg,Shoes,shoes,Grey,train,7
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011.0,Casual,United Colors of Benetton Women Solid Beige Wallets,C:\Users\LENOVO\New folder\data\raw\images\14856.jpg,Accessories,accessory,Beige,train,9
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Lotto Men Ridge Brown Sandals,C:\Users\LENOVO\New folder\data\raw\images\33648.jpg,Shoes,shoes,Brown,test,7
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt,C:\Users\LENOVO\New folder\data\raw\images\59297.jpg,Shirt,top,White,train,1
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016.0,Casual,Jockey ELANCE Men Bikini White Brief 1005,C:\Users\LENOVO\New folder\data\raw\images\28032.jpg,Accessories,accessory,White,train,9
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012.0,Formal,Scullers For Her Charcoal Blazer,C:\Users\LENOVO\New folder\data\raw\images\27846.jpg,Jacket,outerwear,Charcoal,train,6
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012.0,Casual,Jealous 21 Women Black Jeans,C:\Users\LENOVO\New folder\data\raw\images\26994.jpg,Jeans,bottom,Black,train,2
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012.0,Casual,iPanema Women Red Flip Flops,C:\Users\LENOVO\New folder\data\raw\images\49839.jpg,Shoes,shoes,Red,train,7
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012.0,Casual,Fabindia Women Blue Silk Sling Bag,C:\Users\LENOVO\New folder\data\raw\images\31923.jpg,Accessories,accessory,Blue,train,9
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010.0,Casual,Carlton London Women Silver Wedge Sandal,C:\Users\LENOVO\New folder\data\raw\images\2618.jpg,Shoes,shoes,Silver,train,7
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012.0,Ethnic,Sushilas Women Printed Green Kurta,C:\Users\LENOVO\New folder\data\raw\images\54588.jpg,Shirt,top,Green,val,1
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012.0,Casual,Lucera Women Silver Ring,C:\Users\LENOVO\New folder\data\raw\images\49005.jpg,Accessories,accessory,Silver,train,9
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear,C:\Users\LENOVO\New folder\data\raw\images\8322.jpg,T-Shirt,top,Blue,train,0
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016.0,Casual,ADIDAS Unisex Three Small Dials White Watches,C:\Users\LENOVO\New folder\data\raw\images\13841.jpg,Accessories,accessory,White,train,9
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016.0,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses,C:\Users\LENOVO\New folder\data\raw\images\28200.jpg,Accessories,accessory,Copper,train,9
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,ADIDAS Kids Adispeed Black Sports Shoes,C:\Users\LENOVO\New folder\data\raw\images\12993.jpg,Sneakers,shoes,Black,train,8
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011.0,Casual,Scullers Men  Green Check Shirt,C:\Users\LENOVO\New folder\data\raw\images\7158.jpg,Shirt,top,Green,train,1
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011.0,Casual,Puma Men Fashion Cat White Slipper,C:\Users\LENOVO\New folder\data\raw\images\18495.jpg,Shoes,shoes,White,train,7
8110,Men,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Men Economy 2 Analg Black Watch,C:\Users\LENOVO\New folder\data\raw\images\8110.jpg,Accessories,accessory,Black,val,9
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,United Colors of Benetton Men Solid Blue Sweatshirt,C:\Users\LENOVO\New folder\data\raw\images\19547.jpg,T-Shirt,top,Blue,train,0
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Black T-shirt,C:\Users\LENOVO\New folder\data\raw\images\7964.jpg,T-Shirt,top,Black,train,0
